date,code,open,high,low,close,preclose,pctChg,volume,amount,ret,nav
2026-05-06,sh.000001,4135.4505,4166.1469,4129.9108,4160.1737,4112.1593,1.16762,70117748000,1465903193400.0,0.011676201357277094,1.0339902650401585
2026-05-07,sh.000001,4168.4467,4180.2099,4163.1365,4180.0922,4160.1737,0.47879,68557424900,1359099509978.5,0.004787901043651122,1.0389409081092693
2026-05-08,sh.000001,4163.8537,4183.0631,4154.2456,4179.9524,4180.0922,-0.003344,69701909400,1331673066130.8,-3.3444238383029123e-05,1.0389061615218727
2026-05-11,sh.000001,4201.3465,4229.5795,4186.0819,4225.0207,4179.9524,1.078201,76273628700,1584366746239.2,0.01078201273296786,1.0501076609837603
2026-05-12,sh.000001,4229.2833,4230.1839,4199.344,4214.4891,4225.0207,-0.249267,71898400200,1465272590579.1,-0.0024926741779041084,1.047490084733207
2026-05-13,sh.000001,4192.3145,4245.0684,4192.3145,4242.572,4214.4891,0.666342,70501873900,1447463947685.1,0.006663417399750848,1.0544699483898847
2026-05-14,sh.000001,4256.1569,4258.8631,4177.9175,4177.9175,4242.572,-1.523946,76423500400,1498116800621.6,-0.015239458517144922,1.038400397353821
2026-05-15,sh.000001,4174.175,4191.8068,4114.0856,4135.3894,4177.9175,-1.017926,73316235700,1519240026458.7,-0.010179257967635635,1.0278302518354612
2026-05-18,sh.000001,4120.1401,4145.6612,4108.6044,4131.5276,4135.3894,-0.093384,62723313700,1315084195447.2,-0.0009338419255027208,1.0268704208539972
2026-05-19,sh.000001,4122.9608,4170.2887,4107.9944,4169.5378,4131.5276,0.920004,61761106700,1306522478007.3,0.009200035357382008,1.0363176650333037
2026-05-20,sh.000001,4152.6984,4169.8468,4139.9744,4162.1845,4169.5378,-0.176358,62415203500,1358926939220.2,-0.0017635767686288162,1.0344900392743313
2026-05-21,sh.000001,4174.3772,4199.5269,4074.2167,4077.2765,4162.1845,-2.039986,72721870100,1595726694714.8,-0.020399864542285484,1.0133865826027912
2026-05-22,sh.000001,4096.1723,4120.0875,4067.7471,4112.8996,4077.2765,0.873698,58945964400,1285847521737.2,0.008736984111820778,1.022240525074124
2026-05-25,sh.000001,4126.3376,4153.8788,4119.7996,4152.5686,4112.8996,0.964502,61593086100,1445655378392.4,0.009645020267453175,1.032100055656676
2026-05-26,sh.000001,4137.3196,4150.2888,4104.4593,4145.373,4152.5686,-0.173281,65477775600,1461685377747.7,-0.0017328070149160713,1.0303116254401388
2026-05-27,sh.000001,4138.8053,4153.5614,4077.616,4093.7266,4145.373,-1.245881,66046739900,1473449050997.9,-0.012458806481346674,1.0174751722832984
2026-05-28,sh.000001,4080.3044,4110.7821,4055.8275,4098.6358,4093.7266,0.11992,62117995000,1361325732878.4,0.0011992007477978905,1.0186953292707663
